id,title,text,label
1,"Government confirms new policy for education reform","The government has officially announced a new policy aimed at improving education standards across the country. Experts believe this will have long-term positive effects.","REAL"
2,"Aliens landed in New York City last night","Multiple sources claim that aliens have landed in NYC, but no official confirmation has been provided by authorities.","FAKE"
3,"Scientists discover new species in the Amazon rainforest","A team of international scientists has discovered a previously unknown species of insect in the Amazon rainforest.","REAL"
4,"Drinking coffee cures all diseases instantly","A viral post claims that drinking coffee can cure all diseases, which has no scientific backing.","FAKE"
5,"Local elections results announced by officials","The election commission released the final results after counting all votes from the recent local elections.","REAL"
6,"Celebrity adopts 1000 children secretly","Rumors spread online that a celebrity adopted 1000 children, but no credible evidence supports this claim.","FAKE"
7,"New technology promises faster internet speeds","Tech companies are developing new infrastructure that could significantly improve internet speed globally.","REAL"
8,"Man builds flying car in his garage overnight","A story circulating online claims a man built a flying car overnight, which experts say is unrealistic.","FAKE"
9,"Healthcare workers receive national recognition","Healthcare workers were honored nationwide for their service during recent health crises.","REAL"
10,"Time travel machine found in ancient ruins","A blog post claims a time travel machine was discovered, but historians dismiss it as fiction.","FAKE"